,RT,Intervals,Judge,Answer,Precision
0,0.39812179998261854,1.5594,1.0,1.0,1.0
1,0.37963729997863993,1.3801,0.0,0.0,1.0
2,0.5710601999890059,1.1967,1.0,1.0,1.0
3,0.45830320002278313,1.7323,1.0,1.0,1.0
4,0.4779322999820579,1.2787,1.0,1.0,1.0
5,0.4618768999935128,1.9267,1.0,1.0,1.0
6,0.4849210999964271,1.6094,0.0,0.0,1.0
7,0.36261110001942143,1.3258,1.0,1.0,1.0
8,0.47762190000503324,1.0891,0.0,0.0,1.0
9,0.5000288999872282,1.4342,0.0,0.0,1.0
10,0.3794591000187211,1.6304,1.0,1.0,1.0
11,0.3649440000008326,1.7879,0.0,0.0,1.0
12,0.4266747999936342,1.2602,1.0,1.0,1.0
13,0.45468609998351894,1.66,1.0,1.0,1.0
14,0.4578027999959886,1.2977,0.0,0.0,1.0
15,0.44931150000775233,1.3614,0.0,0.0,1.0
16,0.42819090001285076,1.448,1.0,1.0,1.0
17,0.5033385999849997,1.5181,0.0,1.0,0.0
18,0.47440209999331273,1.0817,0.0,0.0,1.0
19,0.39327530001173727,1.4101,1.0,1.0,1.0
20,0.3756660000071861,1.8762,1.0,1.0,1.0
21,0.47358819999499246,1.2504,0.0,0.0,1.0
22,0.514930600009393,1.3504,1.0,1.0,1.0
23,0.4424924000049941,1.4404,0.0,0.0,1.0
24,0.4909240999841131,1.5278,0.0,0.0,1.0
25,0.44496069999877363,1.0135,0.0,1.0,0.0
26,0.4217173000215553,1.0426,1.0,1.0,1.0
27,0.48956049999105744,1.2869,0.0,0.0,1.0
28,0.6176656000025105,1.0391,1.0,1.0,1.0
29,0.4735078999947291,1.3268,0.0,0.0,1.0
30,0.4841063999920152,1.0305,1.0,1.0,1.0
31,0.48386789998039603,1.8703,0.0,0.0,1.0
32,0.3963448000140488,1.8645,1.0,1.0,1.0
33,0.4115810999937821,1.3195,1.0,1.0,1.0
34,0.454050800006371,1.9421,1.0,1.0,1.0
35,0.456988599995384,1.5436,1.0,1.0,1.0
36,0.5339415000053123,1.2441,0.0,0.0,1.0
37,0.5390519000065979,1.6176,0.0,0.0,1.0
38,0.5776960000221152,1.5299,0.0,1.0,0.0
39,0.5168841000122484,1.255,1.0,1.0,1.0
40,0.45163359999423847,1.0781,0.0,0.0,1.0
41,0.40546310000354424,1.6132,1.0,1.0,1.0
42,0.41004010001779534,1.2628,1.0,1.0,1.0
43,0.4481165999895893,1.4861,0.0,0.0,1.0
44,0.5194703000015579,1.0143,1.0,1.0,1.0
45,0.5840182999963872,1.5008,0.0,0.0,1.0
46,0.6177852000109851,1.7993,0.0,0.0,1.0
47,0.3947868999966886,1.055,1.0,1.0,1.0
48,0.5672973000037018,1.1081,1.0,1.0,1.0
49,0.3460172999766655,1.4787,0.0,0.0,1.0
