,RT,Intervals,Judge,Answer,Precision
0,0.5607944109942764,1.4446,1.0,1.0,1.0
1,0.5440729439724237,1.3588,1.0,1.0,1.0
2,0.7702312610053923,1.4881,1.0,1.0,1.0
3,0.8042559880123008,1.2975,0.0,0.0,1.0
4,0.8343950480048079,1.0475,0.0,0.0,1.0
5,0.6245015229796991,1.03,1.0,1.0,1.0
6,0.6085351349902339,1.298,0.0,0.0,1.0
7,0.6530368679959793,1.6415,0.0,0.0,1.0
8,0.7109818360186182,1.0595,0.0,0.0,1.0
9,0.6382148439879529,1.7258,0.0,0.0,1.0
10,0.6930016209953465,1.6812,0.0,0.0,1.0
11,0.7931308400002308,1.869,0.0,0.0,1.0
12,0.5334076780127361,1.305,1.0,1.0,1.0
13,0.5121140760020353,1.5921,0.0,0.0,1.0
14,0.5870099189924076,1.9799,1.0,1.0,1.0
15,0.9116693739779294,1.2677,0.0,1.0,0.0
16,0.6004121220030356,1.7994,0.0,0.0,1.0
17,0.6469915820052847,1.202,0.0,1.0,0.0
18,0.6485343460226431,1.5866,1.0,1.0,1.0
19,0.7299646660103463,1.9029,1.0,1.0,1.0
20,0.6519412389898207,1.2239,1.0,1.0,1.0
21,0.8219313089794014,1.6757,1.0,1.0,1.0
22,0.8604661950084846,1.4475,0.0,0.0,1.0
23,0.7230341680115089,1.4585,1.0,1.0,1.0
24,0.5731087060121354,1.4937,1.0,1.0,1.0
25,0.6886793430021498,1.4213,0.0,0.0,1.0
26,0.8417069119750522,1.1291,1.0,1.0,1.0
27,0.7822765010059811,1.1864,1.0,0.0,0.0
28,0.5551895310054533,1.1279,1.0,1.0,1.0
29,1.0059268570039421,1.2383,0.0,0.0,1.0
30,0.7313635099853855,1.8499,0.0,0.0,1.0
31,0.5578501510026399,1.356,1.0,1.0,1.0
32,0.5742039559991099,1.928,1.0,1.0,1.0
33,0.7028059340082109,1.4144,0.0,0.0,1.0
34,0.7133156539930496,1.1701,0.0,0.0,1.0
35,0.8036050899827387,1.8967,1.0,1.0,1.0
36,0.7196570700034499,1.1904,1.0,1.0,1.0
37,0.7831657390051987,1.4304,0.0,0.0,1.0
38,0.6086357040039729,1.455,0.0,0.0,1.0
39,0.5839163850178011,1.3447,1.0,1.0,1.0
40,0.8465347950113937,1.5782,1.0,1.0,1.0
41,0.5664237599994522,1.3426,1.0,1.0,1.0
42,1.1844944720214698,1.9353,0.0,0.0,1.0
43,0.6742188339994755,1.7581,1.0,1.0,1.0
44,0.5859965079871472,1.3485,1.0,1.0,1.0
45,0.6277424310101196,1.0367,0.0,0.0,1.0
46,0.9175262610078789,1.5312,0.0,0.0,1.0
47,0.6858635740063619,1.6337,1.0,1.0,1.0
48,1.0021967320062686,1.7111,1.0,0.0,0.0
49,0.49862731399480253,1.0888,1.0,1.0,1.0
